2022-12-07 00:11:06,598 fast_base_tt_800_finetune_ic17mlt.py INFO: (131/783) LR: 0.000995 | Batch: 0.640s | Total: 1min | ETA: 7min | Loss: 0.279 | Loss(text/kernel/emb/rec): 0.100/0.120/0.060/0.000 | IoU(text/kernel): 0.780/0.587 | Acc rec: 0.000
2022-12-07 00:11:11,304 fast_base_tt_800_finetune_ic17mlt.py INFO: (141/783) LR: 0.000995 | Batch: 0.628s | Total: 1min | ETA: 7min | Loss: 0.279 | Loss(text/kernel/emb/rec): 0.099/0.121/0.059/0.000 | IoU(text/kernel): 0.782/0.588 | Acc rec: 0.000
2022-12-07 00:11:16,281 fast_base_tt_800_finetune_ic17mlt.py INFO: (151/783) LR: 0.000994 | Batch: 0.620s | Total: 2min | ETA: 7min | Loss: 0.277 | Loss(text/kernel/emb/rec): 0.098/0.121/0.059/0.000 | IoU(text/kernel): 0.784/0.587 | Acc rec: 0.000
2022-12-07 00:11:21,582 fast_base_tt_800_finetune_ic17mlt.py INFO: (161/783) LR: 0.000994 | Batch: 0.614s | Total: 2min | ETA: 6min | Loss: 0.276 | Loss(text/kernel/emb/rec): 0.098/0.120/0.058/0.000 | IoU(text/kernel): 0.784/0.588 | Acc rec: 0.000
2022-12-07 00:11:26,560 fast_base_tt_800_finetune_ic17mlt.py INFO: (171/783) LR: 0.000993 | Batch: 0.607s | Total: 2min | ETA: 6min | Loss: 0.273 | Loss(text/kernel/emb/rec): 0.097/0.119/0.058/0.000 | IoU(text/kernel): 0.785/0.589 | Acc rec: 0.000
2022-12-07 00:11:31,479 fast_base_tt_800_finetune_ic17mlt.py INFO: (181/783) LR: 0.000993 | Batch: 0.601s | Total: 2min | ETA: 6min | Loss: 0.271 | Loss(text/kernel/emb/rec): 0.096/0.118/0.057/0.000 | IoU(text/kernel): 0.787/0.590 | Acc rec: 0.000
2022-12-07 00:11:35,819 fast_base_tt_800_finetune_ic17mlt.py INFO: (191/783) LR: 0.000993 | Batch: 0.592s | Total: 2min | ETA: 6min | Loss: 0.270 | Loss(text/kernel/emb/rec): 0.096/0.118/0.056/0.000 | IoU(text/kernel): 0.788/0.590 | Acc rec: 0.000
2022-12-07 00:11:40,891 fast_base_tt_800_finetune_ic17mlt.py INFO: (201/783) LR: 0.000992 | Batch: 0.588s | Total: 2min | ETA: 6min | Loss: 0.269 | Loss(text/kernel/emb/rec): 0.096/0.117/0.056/0.000 | IoU(text/kernel): 0.789/0.591 | Acc rec: 0.000
2022-12-07 00:11:45,965 fast_base_tt_800_finetune_ic17mlt.py INFO: (211/783) LR: 0.000992 | Batch: 0.584s | Total: 2min | ETA: 6min | Loss: 0.268 | Loss(text/kernel/emb/rec): 0.095/0.117/0.056/0.000 | IoU(text/kernel): 0.790/0.593 | Acc rec: 0.000
2022-12-07 00:11:50,863 fast_base_tt_800_finetune_ic17mlt.py INFO: (221/783) LR: 0.000992 | Batch: 0.580s | Total: 2min | ETA: 5min | Loss: 0.267 | Loss(text/kernel/emb/rec): 0.095/0.117/0.056/0.000 | IoU(text/kernel): 0.791/0.593 | Acc rec: 0.000
