2022-12-07 12:00:30,693 fast_small_tt_512_finetune_ic17mlt.py INFO: (131/783) LR: 0.000995 | Batch: 0.351s | Total: 1min | ETA: 4min | Loss: 0.279 | Loss(text/kernel/emb/rec): 0.104/0.122/0.052/0.000 | IoU(text/kernel): 0.775/0.572 | Acc rec: 0.000
2022-12-07 12:00:33,668 fast_small_tt_512_finetune_ic17mlt.py INFO: (141/783) LR: 0.000995 | Batch: 0.347s | Total: 1min | ETA: 4min | Loss: 0.279 | Loss(text/kernel/emb/rec): 0.104/0.122/0.053/0.000 | IoU(text/kernel): 0.775/0.572 | Acc rec: 0.000
2022-12-07 12:00:36,127 fast_small_tt_512_finetune_ic17mlt.py INFO: (151/783) LR: 0.000994 | Batch: 0.341s | Total: 1min | ETA: 4min | Loss: 0.276 | Loss(text/kernel/emb/rec): 0.103/0.121/0.052/0.000 | IoU(text/kernel): 0.776/0.572 | Acc rec: 0.000
2022-12-07 12:00:38,585 fast_small_tt_512_finetune_ic17mlt.py INFO: (161/783) LR: 0.000994 | Batch: 0.335s | Total: 1min | ETA: 3min | Loss: 0.274 | Loss(text/kernel/emb/rec): 0.102/0.120/0.052/0.000 | IoU(text/kernel): 0.778/0.572 | Acc rec: 0.000
2022-12-07 12:00:41,073 fast_small_tt_512_finetune_ic17mlt.py INFO: (171/783) LR: 0.000993 | Batch: 0.330s | Total: 1min | ETA: 3min | Loss: 0.271 | Loss(text/kernel/emb/rec): 0.101/0.119/0.052/0.000 | IoU(text/kernel): 0.780/0.573 | Acc rec: 0.000
2022-12-07 12:00:43,715 fast_small_tt_512_finetune_ic17mlt.py INFO: (181/783) LR: 0.000993 | Batch: 0.326s | Total: 1min | ETA: 3min | Loss: 0.269 | Loss(text/kernel/emb/rec): 0.100/0.119/0.051/0.000 | IoU(text/kernel): 0.781/0.574 | Acc rec: 0.000
2022-12-07 12:00:46,483 fast_small_tt_512_finetune_ic17mlt.py INFO: (191/783) LR: 0.000993 | Batch: 0.324s | Total: 1min | ETA: 3min | Loss: 0.269 | Loss(text/kernel/emb/rec): 0.100/0.119/0.051/0.000 | IoU(text/kernel): 0.782/0.574 | Acc rec: 0.000
2022-12-07 12:00:49,345 fast_small_tt_512_finetune_ic17mlt.py INFO: (201/783) LR: 0.000992 | Batch: 0.322s | Total: 1min | ETA: 3min | Loss: 0.268 | Loss(text/kernel/emb/rec): 0.099/0.119/0.050/0.000 | IoU(text/kernel): 0.782/0.574 | Acc rec: 0.000
2022-12-07 12:00:52,188 fast_small_tt_512_finetune_ic17mlt.py INFO: (211/783) LR: 0.000992 | Batch: 0.320s | Total: 1min | ETA: 3min | Loss: 0.267 | Loss(text/kernel/emb/rec): 0.099/0.118/0.050/0.000 | IoU(text/kernel): 0.783/0.575 | Acc rec: 0.000
2022-12-07 12:00:54,910 fast_small_tt_512_finetune_ic17mlt.py INFO: (221/783) LR: 0.000992 | Batch: 0.318s | Total: 1min | ETA: 3min | Loss: 0.267 | Loss(text/kernel/emb/rec): 0.099/0.118/0.050/0.000 | IoU(text/kernel): 0.783/0.575 | Acc rec: 0.000
2022-12-07 12:00:57,575 fast_small_tt_512_finetune_ic17mlt.py INFO: (231/783) LR: 0.000991 | Batch: 0.316s | Total: 1min | ETA: 3min | Loss: 0.266 | Loss(text/kernel/emb/rec): 0.099/0.118/0.049/0.000 | IoU(text/kernel): 0.784/0.575 | Acc rec: 0.000
2022-12-07 12:01:00,268 fast_small_tt_512_finetune_ic17mlt.py INFO: (241/783) LR: 0.000991 | Batch: 0.314s | Total: 1min | ETA: 3min | Loss: 0.265 | Loss(text/kernel/emb/rec): 0.098/0.118/0.049/0.000 | IoU(text/kernel): 0.784/0.575 | Acc rec: 0.000
2022-12-07 12:01:03,335 fast_small_tt_512_finetune_ic17mlt.py INFO: (251/783) LR: 0.000990 | Batch: 0.313s | Total: 1min | ETA: 3min | Loss: 0.264 | Loss(text/kernel/emb/rec): 0.097/0.117/0.049/0.000 | IoU(text/kernel): 0.785/0.576 | Acc rec: 0.000
2022-12-07 12:01:06,046 fast_small_tt_512_finetune_ic17mlt.py INFO: (261/783) LR: 0.000990 | Batch: 0.312s | Total: 1min | ETA: 3min | Loss: 0.264 | Loss(text/kernel/emb/rec): 0.097/0.117/0.049/0.000 | IoU(text/kernel): 0.786/0.576 | Acc rec: 0.000
2022-12-07 12:01:08,585 fast_small_tt_512_finetune_ic17mlt.py INFO: (271/783) LR: 0.000990 | Batch: 0.310s | Total: 1min | ETA: 3min | Loss: 0.262 | Loss(text/kernel/emb/rec): 0.097/0.117/0.049/0.000 | IoU(text/kernel): 0.787/0.577 | Acc rec: 0.000
2022-12-07 12:01:11,579 fast_small_tt_512_finetune_ic17mlt.py INFO: (281/783) LR: 0.000989 | Batch: 0.309s | Total: 1min | ETA: 3min | Loss: 0.261 | Loss(text/kernel/emb/rec): 0.096/0.116/0.048/0.000 | IoU(text/kernel): 0.787/0.578 | Acc rec: 0.000
2022-12-07 12:01:14,360 fast_small_tt_512_finetune_ic17mlt.py INFO: (291/783) LR: 0.000989 | Batch: 0.308s | Total: 1min | ETA: 3min | Loss: 0.260 | Loss(text/kernel/emb/rec): 0.096/0.116/0.048/0.000 | IoU(text/kernel): 0.788/0.579 | Acc rec: 0.000
2022-12-07 12:01:17,187 fast_small_tt_512_finetune_ic17mlt.py INFO: (301/783) LR: 0.000988 | Batch: 0.307s | Total: 2min | ETA: 2min | Loss: 0.259 | Loss(text/kernel/emb/rec): 0.095/0.116/0.048/0.000 | IoU(text/kernel): 0.789/0.579 | Acc rec: 0.000
2022-12-07 12:01:19,910 fast_small_tt_512_finetune_ic17mlt.py INFO: (311/783) LR: 0.000988 | Batch: 0.306s | Total: 2min | ETA: 2min | Loss: 0.258 | Loss(text/kernel/emb/rec): 0.095/0.116/0.048/0.000 | IoU(text/kernel): 0.790/0.579 | Acc rec: 0.000
2022-12-07 12:01:22,770 fast_small_tt_512_finetune_ic17mlt.py INFO: (321/783) LR: 0.000988 | Batch: 0.306s | Total: 2min | ETA: 2min | Loss: 0.257 | Loss(text/kernel/emb/rec): 0.095/0.115/0.047/0.000 | IoU(text/kernel): 0.790/0.580 | Acc rec: 0.000
2022-12-07 12:01:25,404 fast_small_tt_512_finetune_ic17mlt.py INFO: (331/783) LR: 0.000987 | Batch: 0.304s | Total: 2min | ETA: 2min | Loss: 0.257 | Loss(text/kernel/emb/rec): 0.095/0.115/0.047/0.000 | IoU(text/kernel): 0.790/0.580 | Acc rec: 0.000
