2022-12-06 17:21:25,589 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (111/783) LR: 0.000996 | Batch: 0.536s | Total: 1min | ETA: 6min | Loss: 0.272 | Loss(text/kernel/emb/rec): 0.098/0.123/0.052/0.000 | IoU(text/kernel): 0.786/0.586 | Acc rec: 0.000
2022-12-06 17:21:28,976 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (121/783) LR: 0.000995 | Batch: 0.520s | Total: 1min | ETA: 6min | Loss: 0.271 | Loss(text/kernel/emb/rec): 0.097/0.123/0.052/0.000 | IoU(text/kernel): 0.788/0.587 | Acc rec: 0.000
2022-12-06 17:21:32,287 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (131/783) LR: 0.000995 | Batch: 0.506s | Total: 1min | ETA: 6min | Loss: 0.270 | Loss(text/kernel/emb/rec): 0.096/0.122/0.051/0.000 | IoU(text/kernel): 0.789/0.589 | Acc rec: 0.000
2022-12-06 17:21:35,675 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (141/783) LR: 0.000995 | Batch: 0.494s | Total: 1min | ETA: 5min | Loss: 0.268 | Loss(text/kernel/emb/rec): 0.096/0.122/0.050/0.000 | IoU(text/kernel): 0.790/0.589 | Acc rec: 0.000
2022-12-06 17:21:38,717 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (151/783) LR: 0.000994 | Batch: 0.481s | Total: 1min | ETA: 5min | Loss: 0.265 | Loss(text/kernel/emb/rec): 0.095/0.120/0.050/0.000 | IoU(text/kernel): 0.790/0.590 | Acc rec: 0.000
2022-12-06 17:21:42,124 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (161/783) LR: 0.000994 | Batch: 0.472s | Total: 1min | ETA: 5min | Loss: 0.264 | Loss(text/kernel/emb/rec): 0.095/0.119/0.049/0.000 | IoU(text/kernel): 0.790/0.590 | Acc rec: 0.000
2022-12-06 17:21:45,577 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (171/783) LR: 0.000993 | Batch: 0.465s | Total: 1min | ETA: 5min | Loss: 0.262 | Loss(text/kernel/emb/rec): 0.094/0.119/0.049/0.000 | IoU(text/kernel): 0.791/0.591 | Acc rec: 0.000
2022-12-06 17:21:48,914 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (181/783) LR: 0.000993 | Batch: 0.458s | Total: 1min | ETA: 5min | Loss: 0.261 | Loss(text/kernel/emb/rec): 0.094/0.118/0.049/0.000 | IoU(text/kernel): 0.792/0.592 | Acc rec: 0.000
2022-12-06 17:21:52,465 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (191/783) LR: 0.000993 | Batch: 0.452s | Total: 1min | ETA: 4min | Loss: 0.260 | Loss(text/kernel/emb/rec): 0.093/0.118/0.049/0.000 | IoU(text/kernel): 0.793/0.592 | Acc rec: 0.000
2022-12-06 17:21:55,707 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (201/783) LR: 0.000992 | Batch: 0.446s | Total: 1min | ETA: 4min | Loss: 0.257 | Loss(text/kernel/emb/rec): 0.092/0.117/0.048/0.000 | IoU(text/kernel): 0.795/0.593 | Acc rec: 0.000
2022-12-06 17:21:59,091 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (211/783) LR: 0.000992 | Batch: 0.441s | Total: 2min | ETA: 4min | Loss: 0.255 | Loss(text/kernel/emb/rec): 0.092/0.116/0.048/0.000 | IoU(text/kernel): 0.796/0.594 | Acc rec: 0.000
2022-12-06 17:22:02,512 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (221/783) LR: 0.000992 | Batch: 0.436s | Total: 2min | ETA: 4min | Loss: 0.255 | Loss(text/kernel/emb/rec): 0.092/0.116/0.048/0.000 | IoU(text/kernel): 0.796/0.595 | Acc rec: 0.000
2022-12-06 17:22:06,165 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (231/783) LR: 0.000991 | Batch: 0.433s | Total: 2min | ETA: 4min | Loss: 0.254 | Loss(text/kernel/emb/rec): 0.091/0.116/0.048/0.000 | IoU(text/kernel): 0.797/0.596 | Acc rec: 0.000
2022-12-06 17:22:09,224 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (241/783) LR: 0.000991 | Batch: 0.428s | Total: 2min | ETA: 4min | Loss: 0.253 | Loss(text/kernel/emb/rec): 0.091/0.115/0.047/0.000 | IoU(text/kernel): 0.797/0.596 | Acc rec: 0.000
2022-12-06 17:22:13,038 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (251/783) LR: 0.000990 | Batch: 0.426s | Total: 2min | ETA: 4min | Loss: 0.252 | Loss(text/kernel/emb/rec): 0.090/0.115/0.047/0.000 | IoU(text/kernel): 0.798/0.597 | Acc rec: 0.000
2022-12-06 17:22:16,606 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (261/783) LR: 0.000990 | Batch: 0.424s | Total: 2min | ETA: 4min | Loss: 0.251 | Loss(text/kernel/emb/rec): 0.090/0.114/0.047/0.000 | IoU(text/kernel): 0.799/0.598 | Acc rec: 0.000
2022-12-06 17:22:19,893 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (271/783) LR: 0.000990 | Batch: 0.420s | Total: 2min | ETA: 4min | Loss: 0.250 | Loss(text/kernel/emb/rec): 0.090/0.114/0.047/0.000 | IoU(text/kernel): 0.800/0.598 | Acc rec: 0.000
2022-12-06 17:22:23,548 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (281/783) LR: 0.000989 | Batch: 0.418s | Total: 2min | ETA: 4min | Loss: 0.249 | Loss(text/kernel/emb/rec): 0.089/0.114/0.046/0.000 | IoU(text/kernel): 0.800/0.599 | Acc rec: 0.000
2022-12-06 17:22:26,677 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (291/783) LR: 0.000989 | Batch: 0.414s | Total: 2min | ETA: 3min | Loss: 0.248 | Loss(text/kernel/emb/rec): 0.089/0.113/0.046/0.000 | IoU(text/kernel): 0.801/0.599 | Acc rec: 0.000
2022-12-06 17:22:29,943 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (301/783) LR: 0.000988 | Batch: 0.412s | Total: 2min | ETA: 3min | Loss: 0.248 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.801/0.599 | Acc rec: 0.000
2022-12-06 17:22:33,491 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (311/783) LR: 0.000988 | Batch: 0.410s | Total: 2min | ETA: 3min | Loss: 0.247 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.802/0.599 | Acc rec: 0.000
2022-12-06 17:22:36,881 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (321/783) LR: 0.000988 | Batch: 0.408s | Total: 2min | ETA: 3min | Loss: 0.247 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.803/0.600 | Acc rec: 0.000
2022-12-06 17:22:40,261 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (331/783) LR: 0.000987 | Batch: 0.405s | Total: 2min | ETA: 3min | Loss: 0.248 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.802/0.600 | Acc rec: 0.000
2022-12-06 17:22:43,567 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (341/783) LR: 0.000987 | Batch: 0.403s | Total: 2min | ETA: 3min | Loss: 0.247 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.803/0.600 | Acc rec: 0.000
2022-12-06 17:22:46,862 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (351/783) LR: 0.000987 | Batch: 0.401s | Total: 2min | ETA: 3min | Loss: 0.247 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.803/0.600 | Acc rec: 0.000
2022-12-06 17:22:50,253 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (361/783) LR: 0.000986 | Batch: 0.399s | Total: 2min | ETA: 3min | Loss: 0.246 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.803/0.600 | Acc rec: 0.000
2022-12-06 17:22:53,441 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (371/783) LR: 0.000986 | Batch: 0.397s | Total: 2min | ETA: 3min | Loss: 0.246 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.803/0.600 | Acc rec: 0.000
2022-12-06 17:22:56,848 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (381/783) LR: 0.000985 | Batch: 0.396s | Total: 3min | ETA: 3min | Loss: 0.246 | Loss(text/kernel/emb/rec): 0.088/0.113/0.046/0.000 | IoU(text/kernel): 0.804/0.600 | Acc rec: 0.000
2022-12-06 17:23:00,255 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (391/783) LR: 0.000985 | Batch: 0.394s | Total: 3min | ETA: 3min | Loss: 0.246 | Loss(text/kernel/emb/rec): 0.087/0.113/0.045/0.000 | IoU(text/kernel): 0.804/0.601 | Acc rec: 0.000
2022-12-06 17:23:03,587 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (401/783) LR: 0.000985 | Batch: 0.393s | Total: 3min | ETA: 3min | Loss: 0.245 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.804/0.601 | Acc rec: 0.000
2022-12-06 17:23:06,759 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (411/783) LR: 0.000984 | Batch: 0.391s | Total: 3min | ETA: 2min | Loss: 0.245 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.805/0.601 | Acc rec: 0.000
2022-12-06 17:23:10,088 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (421/783) LR: 0.000984 | Batch: 0.390s | Total: 3min | ETA: 2min | Loss: 0.245 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.804/0.601 | Acc rec: 0.000
2022-12-06 17:23:13,652 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (431/783) LR: 0.000984 | Batch: 0.389s | Total: 3min | ETA: 2min | Loss: 0.244 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.804/0.601 | Acc rec: 0.000
2022-12-06 17:23:17,117 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (441/783) LR: 0.000983 | Batch: 0.388s | Total: 3min | ETA: 2min | Loss: 0.245 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.804/0.601 | Acc rec: 0.000
2022-12-06 17:23:20,306 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (451/783) LR: 0.000983 | Batch: 0.386s | Total: 3min | ETA: 2min | Loss: 0.244 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.805/0.601 | Acc rec: 0.000
2022-12-06 17:23:23,678 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (461/783) LR: 0.000982 | Batch: 0.385s | Total: 3min | ETA: 2min | Loss: 0.244 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.805/0.601 | Acc rec: 0.000
2022-12-06 17:23:26,910 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (471/783) LR: 0.000982 | Batch: 0.384s | Total: 3min | ETA: 2min | Loss: 0.243 | Loss(text/kernel/emb/rec): 0.087/0.112/0.045/0.000 | IoU(text/kernel): 0.805/0.602 | Acc rec: 0.000
2022-12-06 17:23:30,239 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (481/783) LR: 0.000982 | Batch: 0.383s | Total: 3min | ETA: 2min | Loss: 0.243 | Loss(text/kernel/emb/rec): 0.087/0.112/0.044/0.000 | IoU(text/kernel): 0.806/0.602 | Acc rec: 0.000
2022-12-06 17:23:33,636 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (491/783) LR: 0.000981 | Batch: 0.382s | Total: 3min | ETA: 2min | Loss: 0.242 | Loss(text/kernel/emb/rec): 0.086/0.112/0.044/0.000 | IoU(text/kernel): 0.806/0.602 | Acc rec: 0.000
2022-12-06 17:23:36,903 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (501/783) LR: 0.000981 | Batch: 0.381s | Total: 3min | ETA: 2min | Loss: 0.242 | Loss(text/kernel/emb/rec): 0.086/0.111/0.044/0.000 | IoU(text/kernel): 0.806/0.603 | Acc rec: 0.000
2022-12-06 17:23:40,028 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (511/783) LR: 0.000980 | Batch: 0.380s | Total: 3min | ETA: 2min | Loss: 0.241 | Loss(text/kernel/emb/rec): 0.086/0.111/0.044/0.000 | IoU(text/kernel): 0.807/0.603 | Acc rec: 0.000
2022-12-06 17:23:43,635 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (521/783) LR: 0.000980 | Batch: 0.379s | Total: 3min | ETA: 2min | Loss: 0.241 | Loss(text/kernel/emb/rec): 0.086/0.111/0.044/0.000 | IoU(text/kernel): 0.807/0.603 | Acc rec: 0.000
2022-12-06 17:23:46,936 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (531/783) LR: 0.000980 | Batch: 0.378s | Total: 3min | ETA: 2min | Loss: 0.241 | Loss(text/kernel/emb/rec): 0.086/0.111/0.044/0.000 | IoU(text/kernel): 0.807/0.603 | Acc rec: 0.000
2022-12-06 17:23:50,349 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (541/783) LR: 0.000979 | Batch: 0.378s | Total: 3min | ETA: 2min | Loss: 0.241 | Loss(text/kernel/emb/rec): 0.086/0.111/0.044/0.000 | IoU(text/kernel): 0.807/0.603 | Acc rec: 0.000
2022-12-06 17:23:53,995 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (551/783) LR: 0.000979 | Batch: 0.377s | Total: 3min | ETA: 1min | Loss: 0.240 | Loss(text/kernel/emb/rec): 0.086/0.111/0.043/0.000 | IoU(text/kernel): 0.808/0.603 | Acc rec: 0.000
2022-12-06 17:23:57,336 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (561/783) LR: 0.000979 | Batch: 0.377s | Total: 4min | ETA: 1min | Loss: 0.240 | Loss(text/kernel/emb/rec): 0.086/0.111/0.043/0.000 | IoU(text/kernel): 0.808/0.604 | Acc rec: 0.000
2022-12-06 17:24:01,146 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (571/783) LR: 0.000978 | Batch: 0.377s | Total: 4min | ETA: 1min | Loss: 0.240 | Loss(text/kernel/emb/rec): 0.086/0.111/0.043/0.000 | IoU(text/kernel): 0.808/0.604 | Acc rec: 0.000
2022-12-06 17:24:04,476 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (581/783) LR: 0.000978 | Batch: 0.376s | Total: 4min | ETA: 1min | Loss: 0.239 | Loss(text/kernel/emb/rec): 0.085/0.111/0.043/0.000 | IoU(text/kernel): 0.808/0.604 | Acc rec: 0.000
2022-12-06 17:24:07,796 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (591/783) LR: 0.000977 | Batch: 0.375s | Total: 4min | ETA: 1min | Loss: 0.239 | Loss(text/kernel/emb/rec): 0.086/0.111/0.043/0.000 | IoU(text/kernel): 0.808/0.604 | Acc rec: 0.000
2022-12-06 17:24:11,117 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (601/783) LR: 0.000977 | Batch: 0.374s | Total: 4min | ETA: 1min | Loss: 0.239 | Loss(text/kernel/emb/rec): 0.085/0.111/0.043/0.000 | IoU(text/kernel): 0.808/0.604 | Acc rec: 0.000
2022-12-06 17:24:14,453 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (611/783) LR: 0.000977 | Batch: 0.374s | Total: 4min | ETA: 1min | Loss: 0.239 | Loss(text/kernel/emb/rec): 0.085/0.111/0.043/0.000 | IoU(text/kernel): 0.809/0.604 | Acc rec: 0.000
2022-12-06 17:24:17,763 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (621/783) LR: 0.000976 | Batch: 0.373s | Total: 4min | ETA: 1min | Loss: 0.238 | Loss(text/kernel/emb/rec): 0.085/0.111/0.043/0.000 | IoU(text/kernel): 0.809/0.604 | Acc rec: 0.000
2022-12-06 17:24:21,157 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (631/783) LR: 0.000976 | Batch: 0.373s | Total: 4min | ETA: 1min | Loss: 0.238 | Loss(text/kernel/emb/rec): 0.085/0.111/0.042/0.000 | IoU(text/kernel): 0.809/0.605 | Acc rec: 0.000
2022-12-06 17:24:24,336 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (641/783) LR: 0.000975 | Batch: 0.372s | Total: 4min | ETA: 1min | Loss: 0.238 | Loss(text/kernel/emb/rec): 0.085/0.110/0.042/0.000 | IoU(text/kernel): 0.809/0.604 | Acc rec: 0.000
2022-12-06 17:24:27,859 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (651/783) LR: 0.000975 | Batch: 0.371s | Total: 4min | ETA: 1min | Loss: 0.238 | Loss(text/kernel/emb/rec): 0.085/0.110/0.042/0.000 | IoU(text/kernel): 0.810/0.605 | Acc rec: 0.000
2022-12-06 17:24:31,459 fast_small_tt_640_finetune_ic17mlt_in1k_lr1e-3.py INFO: (661/783) LR: 0.000975 | Batch: 0.371s | Total: 4min | ETA: 1min | Loss: 0.237 | Loss(text/kernel/emb/rec): 0.085/0.110/0.042/0.000 | IoU(text/kernel): 0.810/0.605 | Acc rec: 0.000
