2022-12-06 00:00:03,674 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (201/4497) LR: 0.000999 | Batch: 0.495s | Total: 2min | ETA: 35min | Loss: 0.552 | Loss(text/kernel/emb/rec): 0.197/0.157/0.199/0.000 | IoU(text/kernel): 0.579/0.433 | Acc rec: 0.000
2022-12-06 00:00:07,297 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (211/4497) LR: 0.000999 | Batch: 0.489s | Total: 2min | ETA: 35min | Loss: 0.546 | Loss(text/kernel/emb/rec): 0.194/0.156/0.197/0.000 | IoU(text/kernel): 0.586/0.437 | Acc rec: 0.000
2022-12-06 00:00:10,953 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (221/4497) LR: 0.000999 | Batch: 0.483s | Total: 2min | ETA: 34min | Loss: 0.541 | Loss(text/kernel/emb/rec): 0.191/0.155/0.195/0.000 | IoU(text/kernel): 0.592/0.440 | Acc rec: 0.000
2022-12-06 00:00:14,759 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (231/4497) LR: 0.000998 | Batch: 0.479s | Total: 2min | ETA: 34min | Loss: 0.536 | Loss(text/kernel/emb/rec): 0.189/0.154/0.194/0.000 | IoU(text/kernel): 0.598/0.444 | Acc rec: 0.000
2022-12-06 00:00:18,833 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (241/4497) LR: 0.000998 | Batch: 0.476s | Total: 2min | ETA: 34min | Loss: 0.531 | Loss(text/kernel/emb/rec): 0.186/0.153/0.192/0.000 | IoU(text/kernel): 0.604/0.447 | Acc rec: 0.000
2022-12-06 00:00:22,764 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (251/4497) LR: 0.000998 | Batch: 0.472s | Total: 2min | ETA: 33min | Loss: 0.526 | Loss(text/kernel/emb/rec): 0.183/0.152/0.190/0.000 | IoU(text/kernel): 0.609/0.451 | Acc rec: 0.000
2022-12-06 00:00:26,804 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (261/4497) LR: 0.000998 | Batch: 0.470s | Total: 2min | ETA: 33min | Loss: 0.521 | Loss(text/kernel/emb/rec): 0.181/0.152/0.188/0.000 | IoU(text/kernel): 0.614/0.454 | Acc rec: 0.000
2022-12-06 00:00:30,925 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (271/4497) LR: 0.000998 | Batch: 0.468s | Total: 2min | ETA: 33min | Loss: 0.516 | Loss(text/kernel/emb/rec): 0.179/0.151/0.186/0.000 | IoU(text/kernel): 0.618/0.457 | Acc rec: 0.000
2022-12-06 00:00:34,946 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (281/4497) LR: 0.000998 | Batch: 0.465s | Total: 2min | ETA: 33min | Loss: 0.513 | Loss(text/kernel/emb/rec): 0.177/0.151/0.185/0.000 | IoU(text/kernel): 0.622/0.458 | Acc rec: 0.000
2022-12-06 00:00:38,509 fast_base_ic17mlt_640_in1k_lr1e-3.py INFO: (291/4497) LR: 0.000998 | Batch: 0.462s | Total: 2min | ETA: 32min | Loss: 0.508 | Loss(text/kernel/emb/rec): 0.175/0.150/0.184/0.000 | IoU(text/kernel): 0.627/0.462 | Acc rec: 0.000
