2022-12-06 02:23:51,678 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (201/4497) LR: 0.000999 | Batch: 0.540s | Total: 2min | ETA: 39min | Loss: 0.560 | Loss(text/kernel/emb/rec): 0.200/0.159/0.201/0.000 | IoU(text/kernel): 0.555/0.411 | Acc rec: 0.000
2022-12-06 02:23:55,859 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (211/4497) LR: 0.000999 | Batch: 0.534s | Total: 2min | ETA: 38min | Loss: 0.553 | Loss(text/kernel/emb/rec): 0.197/0.158/0.199/0.000 | IoU(text/kernel): 0.563/0.415 | Acc rec: 0.000
2022-12-06 02:23:59,646 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (221/4497) LR: 0.000999 | Batch: 0.527s | Total: 2min | ETA: 38min | Loss: 0.547 | Loss(text/kernel/emb/rec): 0.193/0.157/0.196/0.000 | IoU(text/kernel): 0.571/0.419 | Acc rec: 0.000
2022-12-06 02:24:03,393 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (231/4497) LR: 0.000998 | Batch: 0.521s | Total: 2min | ETA: 37min | Loss: 0.541 | Loss(text/kernel/emb/rec): 0.191/0.156/0.194/0.000 | IoU(text/kernel): 0.577/0.423 | Acc rec: 0.000
2022-12-06 02:24:07,532 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (241/4497) LR: 0.000998 | Batch: 0.516s | Total: 2min | ETA: 37min | Loss: 0.535 | Loss(text/kernel/emb/rec): 0.188/0.155/0.193/0.000 | IoU(text/kernel): 0.584/0.426 | Acc rec: 0.000
2022-12-06 02:24:11,537 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (251/4497) LR: 0.000998 | Batch: 0.512s | Total: 2min | ETA: 36min | Loss: 0.529 | Loss(text/kernel/emb/rec): 0.185/0.154/0.190/0.000 | IoU(text/kernel): 0.590/0.430 | Acc rec: 0.000
2022-12-06 02:24:15,169 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (261/4497) LR: 0.000998 | Batch: 0.506s | Total: 2min | ETA: 36min | Loss: 0.524 | Loss(text/kernel/emb/rec): 0.183/0.153/0.188/0.000 | IoU(text/kernel): 0.595/0.433 | Acc rec: 0.000
2022-12-06 02:24:19,391 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (271/4497) LR: 0.000998 | Batch: 0.503s | Total: 2min | ETA: 35min | Loss: 0.519 | Loss(text/kernel/emb/rec): 0.180/0.152/0.187/0.000 | IoU(text/kernel): 0.601/0.436 | Acc rec: 0.000
2022-12-06 02:24:23,407 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (281/4497) LR: 0.000998 | Batch: 0.499s | Total: 2min | ETA: 35min | Loss: 0.515 | Loss(text/kernel/emb/rec): 0.179/0.151/0.185/0.000 | IoU(text/kernel): 0.605/0.439 | Acc rec: 0.000
2022-12-06 02:24:27,511 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (291/4497) LR: 0.000998 | Batch: 0.496s | Total: 2min | ETA: 35min | Loss: 0.511 | Loss(text/kernel/emb/rec): 0.177/0.150/0.184/0.000 | IoU(text/kernel): 0.609/0.442 | Acc rec: 0.000
2022-12-06 02:24:31,802 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (301/4497) LR: 0.000998 | Batch: 0.494s | Total: 2min | ETA: 35min | Loss: 0.507 | Loss(text/kernel/emb/rec): 0.175/0.150/0.182/0.000 | IoU(text/kernel): 0.613/0.445 | Acc rec: 0.000
2022-12-06 02:24:35,786 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (311/4497) LR: 0.000998 | Batch: 0.491s | Total: 3min | ETA: 34min | Loss: 0.503 | Loss(text/kernel/emb/rec): 0.173/0.150/0.181/0.000 | IoU(text/kernel): 0.618/0.448 | Acc rec: 0.000
2022-12-06 02:24:39,785 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (321/4497) LR: 0.000998 | Batch: 0.488s | Total: 3min | ETA: 34min | Loss: 0.500 | Loss(text/kernel/emb/rec): 0.171/0.149/0.179/0.000 | IoU(text/kernel): 0.622/0.451 | Acc rec: 0.000
2022-12-06 02:24:43,859 fast_small_ic17mlt_640_in1k_lr1e-3.py INFO: (331/4497) LR: 0.000998 | Batch: 0.486s | Total: 3min | ETA: 34min | Loss: 0.496 | Loss(text/kernel/emb/rec): 0.169/0.149/0.178/0.000 | IoU(text/kernel): 0.626/0.453 | Acc rec: 0.000
